date,IT Dep.,CostElement,Country,Budget
03-12-2020,Manufacturing,Internal Labor,Puerto Rico,"93,746"
23-01-2020,Manufacturing,Internal Labor,Spain,"41,281"
25-02-2020,Manufacturing,Internal Labor,Spain,"27,688"
07-03-2020,Manufacturing,Internal Labor,Spain,"35,844"
01-04-2020,Manufacturing,Internal Labor,Spain,"52,163"
12-05-2020,Manufacturing,Internal Labor,Spain,"23,796"
26-06-2020,Manufacturing,Internal Labor,Spain,"24,721"
26-07-2020,Manufacturing,Internal Labor,Spain,"31,222"
03-08-2020,Manufacturing,Internal Labor,Spain,"38,145"
01-09-2020,Manufacturing,Internal Labor,Spain,"60,562"
11-10-2020,Manufacturing,Internal Labor,Spain,"47,316"
24-11-2020,Manufacturing,Internal Labor,Spain,"21,548"
26-12-2020,Manufacturing,Internal Labor,Spain,"26,954"
03-01-2020,Manufacturing,Internal Labor,United Kingdom,"36,384"
28-02-2020,Manufacturing,Internal Labor,United Kingdom,"11,943"
18-03-2020,Manufacturing,Internal Labor,United Kingdom,"33,087"
04-04-2020,Manufacturing,Internal Labor,United Kingdom,"9,794"
18-05-2020,Manufacturing,Internal Labor,United Kingdom,"19,254"
20-06-2020,Manufacturing,Internal Labor,United Kingdom,"13,448"
17-07-2020,Manufacturing,Internal Labor,United Kingdom,"48,817"
12-08-2020,Manufacturing,Internal Labor,United Kingdom,"11,194"
24-09-2020,Manufacturing,Internal Labor,United Kingdom,"30,162"
04-10-2020,Manufacturing,Internal Labor,United Kingdom,"29,664"
11-11-2020,Manufacturing,Internal Labor,United Kingdom,"46,902"
18-12-2020,Manufacturing,Internal Labor,United Kingdom,"11,649"
18-01-2020,Manufacturing,Internal Labor,USA,"7,22,026"
17-02-2020,Manufacturing,Internal Labor,USA,"7,24,520"
04-03-2020,Manufacturing,Internal Labor,USA,"7,76,440"
02-04-2020,Manufacturing,Internal Labor,USA,"7,45,525"
13-05-2020,Manufacturing,Internal Labor,USA,"7,16,806"
14-06-2020,Manufacturing,Internal Labor,USA,"7,42,128"
09-07-2020,Manufacturing,Internal Labor,USA,"7,21,869"
22-08-2020,Manufacturing,Internal Labor,USA,"7,45,589"
04-09-2020,Manufacturing,Internal Labor,USA,"7,41,773"
06-10-2020,Manufacturing,Internal Labor,USA,"7,35,126"
04-11-2020,Manufacturing,Internal Labor,USA,"7,23,679"
26-12-2020,Manufacturing,Internal Labor,USA,"7,34,360"
13-01-2020,Manufacturing,Other,Brazil,2836
19-02-2020,Manufacturing,Other,Brazil,22925
26-03-2020,Manufacturing,Other,Brazil,"13,839"
15-04-2020,Manufacturing,Other,Brazil,20515
25-05-2020,Manufacturing,Other,Brazil,39985
03-06-2020,Manufacturing,Other,Brazil,"-1,185"
05-07-2020,Manufacturing,Other,Brazil,38817
16-08-2020,Manufacturing,Other,Brazil,37509
23-09-2020,Manufacturing,Other,Brazil,"3,199"
01-10-2020,Manufacturing,Other,Brazil,34998
18-11-2020,Manufacturing,Other,Brazil,36021
21-12-2020,Manufacturing,Other,Brazil,-425
11-01-2020,Manufacturing,Other,France,"18,595"
26-02-2020,Manufacturing,Other,France,"14,630"
12-03-2020,Manufacturing,Other,France,"-17,709"
17-04-2020,Manufacturing,Other,France,"5,366"
04-05-2020,Manufacturing,Other,France,"8,905"
03-06-2020,Manufacturing,Other,France,"-11,179"
12-07-2020,Manufacturing,Other,France,"2,369"
03-08-2020,Manufacturing,Other,France,"9,240"
20-09-2020,Manufacturing,Other,France,"-12,140"
15-10-2020,Manufacturing,Other,France,"11,280"
20-11-2020,Manufacturing,Other,France,"1,604"
27-12-2020,Manufacturing,Other,France,"6,480"
10-01-2020,Manufacturing,Other,Germany,33240
24-02-2020,Manufacturing,Other,Germany,7810
03-03-2020,Manufacturing,Other,Germany,17668
03-04-2020,Manufacturing,Other,Germany,6556
14-05-2020,Manufacturing,Other,Germany,12624
06-06-2020,Manufacturing,Other,Germany,6668
22-07-2020,Manufacturing,Other,Germany,14766
06-08-2020,Manufacturing,Other,Germany,10964
28-09-2020,Manufacturing,Other,Germany,1134
23-10-2020,Manufacturing,Other,Germany,20639
02-11-2020,Manufacturing,Other,Germany,3863
05-12-2020,Manufacturing,Other,Germany,6733
03-01-2020,Manufacturing,Other,Ireland,32318
06-02-2020,Manufacturing,Other,Ireland,36920
01-03-2020,Manufacturing,Other,Ireland,12057
13-04-2020,Manufacturing,Other,Ireland,10245
21-05-2020,Manufacturing,Other,Ireland,2225
23-06-2020,Manufacturing,Other,Ireland,28815
03-07-2020,Manufacturing,Other,Ireland,12176
19-08-2020,Manufacturing,Other,Ireland,40088
07-09-2020,Manufacturing,Other,Ireland,13689
24-10-2020,Manufacturing,Other,Ireland,39864
22-11-2020,Manufacturing,Other,Ireland,32545
22-12-2020,Manufacturing,Other,Ireland,7329
14-01-2020,Manufacturing,Other,Italy,8794
19-02-2020,Manufacturing,Other,Italy,16906
12-03-2020,Manufacturing,Other,Italy,"-47,889"
07-04-2020,Manufacturing,Other,Italy,32446
10-05-2020,Manufacturing,Other,Italy,4085
05-06-2020,Manufacturing,Other,Italy,"-45,968"
12-07-2020,Manufacturing,Other,Italy,24022
26-08-2020,Manufacturing,Other,Italy,28171
05-09-2020,Manufacturing,Other,Italy,"-98,835"
28-10-2020,Manufacturing,Other,Italy,27616
07-11-2020,Manufacturing,Other,Italy,"-94,293"
19-12-2020,Manufacturing,Other,Italy,8811
25-01-2020,Manufacturing,Other,Mexico,"6,186"
09-02-2020,Manufacturing,Other,Mexico,"27,330"
25-03-2020,Manufacturing,Other,Mexico,"18,591"
23-04-2020,Manufacturing,Other,Mexico,"28,133"
18-05-2020,Manufacturing,Other,Mexico,"33,503"
17-06-2020,Manufacturing,Other,Mexico,"36,524"
22-07-2020,Manufacturing,Other,Mexico,"31,627"
27-08-2020,Manufacturing,Other,Mexico,"17,884"
18-09-2020,Manufacturing,Other,Mexico,"17,534"
05-10-2020,Manufacturing,Other,Mexico,"22,799"
19-11-2020,Manufacturing,Other,Mexico,"42,131"
12-12-2020,Manufacturing,Other,Mexico,"25,255"
04-01-2020,Manufacturing,Other,Puerto Rico,15794
02-02-2020,Manufacturing,Other,Puerto Rico,4395
17-03-2020,Manufacturing,Other,Puerto Rico,"-3,184"
02-04-2020,Manufacturing,Other,Puerto Rico,22361
06-05-2020,Manufacturing,Other,Puerto Rico,29138
17-06-2020,Manufacturing,Other,Puerto Rico,"13,785"
05-07-2020,Manufacturing,Other,Puerto Rico,28350
04-08-2020,Manufacturing,Other,Puerto Rico,20582
13-09-2020,Manufacturing,Other,Puerto Rico,"-10,042"
24-10-2020,Manufacturing,Other,Puerto Rico,1059
24-11-2020,Manufacturing,Other,Puerto Rico,11303
05-12-2020,Manufacturing,Other,Puerto Rico,"-9,906"
27-01-2020,Manufacturing,Other,Spain,"29,047"
03-02-2020,Manufacturing,Other,Spain,"20,404"
23-03-2020,Manufacturing,Other,Spain,"16,210"
05-04-2020,Manufacturing,Other,Spain,"9,852"
17-05-2020,Manufacturing,Other,Spain,"4,791"
17-06-2020,Manufacturing,Other,Spain,"21,393"
13-07-2020,Manufacturing,Other,Spain,"4,249"
24-08-2020,Manufacturing,Other,Spain,"18,395"
06-09-2020,Manufacturing,Other,Spain,"40,428"
16-10-2020,Manufacturing,Other,Spain,"16,390"
11-11-2020,Manufacturing,Other,Spain,"3,545"
14-12-2020,Manufacturing,Other,Spain,"8,049"
22-01-2020,Manufacturing,Other,United Kingdom,12952
27-02-2020,Manufacturing,Other,United Kingdom,7361
13-03-2020,Manufacturing,Other,United Kingdom,18262
15-04-2020,Manufacturing,Other,United Kingdom,11802
20-05-2020,Manufacturing,Other,United Kingdom,2650
12-06-2020,Manufacturing,Other,United Kingdom,29242
13-07-2020,Manufacturing,Other,United Kingdom,38335
22-08-2020,Manufacturing,Other,United Kingdom,32916
10-09-2020,Manufacturing,Other,United Kingdom,26466
04-10-2020,Manufacturing,Other,United Kingdom,18723
18-11-2020,Manufacturing,Other,United Kingdom,37680
09-12-2020,Manufacturing,Other,United Kingdom,10444
20-01-2020,Manufacturing,Other,USA,"71,961"
07-02-2020,Manufacturing,Other,USA,"79,901"
15-03-2020,Manufacturing,Other,USA,"77,115"
26-04-2020,Manufacturing,Other,USA,"72,819"
25-05-2020,Manufacturing,Other,USA,"52,093"
08-06-2020,Manufacturing,Other,USA,"80,564"
04-07-2020,Manufacturing,Other,USA,"50,393"
15-08-2020,Manufacturing,Other,USA,"54,473"
17-09-2020,Manufacturing,Other,USA,"83,590"
13-10-2020,Manufacturing,Other,USA,"86,808"
11-11-2020,Manufacturing,Other,USA,"76,497"
25-12-2020,Manufacturing,Other,USA,"79,385"
27-01-2020,Manufacturing,Project Expenses,Puerto Rico,"40,170"
01-02-2020,Manufacturing,Project Expenses,Puerto Rico,"24,416"
07-03-2020,Manufacturing,Project Expenses,Puerto Rico,"45,677"
14-04-2020,Manufacturing,Project Expenses,Puerto Rico,"40,826"
14-05-2020,Manufacturing,Project Expenses,Puerto Rico,"33,365"
02-06-2020,Manufacturing,Project Expenses,Puerto Rico,"40,689"
19-07-2020,Manufacturing,Project Expenses,Puerto Rico,"6,028"
13-08-2020,Manufacturing,Project Expenses,Puerto Rico,"31,209"
02-09-2020,Manufacturing,Project Expenses,Puerto Rico,"16,797"
10-10-2020,Manufacturing,Project Expenses,Puerto Rico,"33,916"
28-11-2020,Manufacturing,Project Expenses,Puerto Rico,"25,967"
05-12-2020,Manufacturing,Project Expenses,Puerto Rico,"26,241"
13-01-2020,Manufacturing,Project Expenses,USA,"68,683"
11-02-2020,Manufacturing,Project Expenses,USA,"32,586"
17-03-2020,Manufacturing,Project Expenses,USA,"39,623"
04-04-2020,Manufacturing,Project Expenses,USA,"41,548"
22-05-2020,Manufacturing,Project Expenses,USA,"53,045"
04-06-2020,Manufacturing,Project Expenses,USA,"43,358"
25-07-2020,Manufacturing,Project Expenses,USA,"38,165"
18-08-2020,Manufacturing,Project Expenses,USA,"38,596"
28-09-2020,Manufacturing,Project Expenses,USA,"62,450"
12-10-2020,Manufacturing,Project Expenses,USA,"37,732"
19-11-2020,Manufacturing,Project Expenses,USA,"58,326"
21-12-2020,Manufacturing,Project Expenses,USA,"46,331"
15-01-2020,Manufacturing,Recognition,Puerto Rico,33820
09-02-2020,Manufacturing,Recognition,Puerto Rico,7039
12-03-2020,Manufacturing,Recognition,Puerto Rico,26725
12-04-2020,Manufacturing,Recognition,Puerto Rico,23162
08-05-2020,Manufacturing,Recognition,Puerto Rico,9344
20-06-2020,Manufacturing,Recognition,Puerto Rico,15084
23-07-2020,Manufacturing,Recognition,Puerto Rico,2500
11-08-2020,Manufacturing,Recognition,Puerto Rico,30508
05-09-2020,Manufacturing,Recognition,Puerto Rico,13356
23-10-2020,Manufacturing,Recognition,Puerto Rico,23344
08-11-2020,Manufacturing,Recognition,Puerto Rico,26228
27-12-2020,Manufacturing,Recognition,Puerto Rico,3474
18-01-2020,Manufacturing,Recognition,USA,2584
11-02-2020,Manufacturing,Recognition,USA,12912
15-03-2020,Manufacturing,Recognition,USA,2482
04-04-2020,Manufacturing,Recognition,USA,21436
18-05-2020,Manufacturing,Recognition,USA,14346
14-06-2020,Manufacturing,Recognition,USA,33537
13-07-2020,Manufacturing,Recognition,USA,13655
10-08-2020,Manufacturing,Recognition,USA,39003
19-09-2020,Manufacturing,Recognition,USA,11094
11-10-2020,Manufacturing,Recognition,USA,18257
22-11-2020,Manufacturing,Recognition,USA,19601
22-12-2020,Manufacturing,Recognition,USA,7518
08-01-2020,Manufacturing,Severance,Brazil,19524
07-02-2020,Manufacturing,Severance,Brazil,1477
28-03-2020,Manufacturing,Severance,Brazil,37845
12-04-2020,Manufacturing,Severance,Brazil,15151
19-05-2020,Manufacturing,Severance,Brazil,34777
19-06-2020,Manufacturing,Severance,Brazil,38671
28-07-2020,Manufacturing,Severance,Brazil,18416
24-08-2020,Manufacturing,Severance,Brazil,28722
20-09-2020,Manufacturing,Severance,Brazil,33742
25-10-2020,Manufacturing,Severance,Brazil,2823
06-11-2020,Manufacturing,Severance,Brazil,33755
05-12-2020,Manufacturing,Severance,Brazil,15844
16-01-2020,Manufacturing,Severance,Mexico,27283
09-02-2020,Manufacturing,Severance,Mexico,37311
14-03-2020,Manufacturing,Severance,Mexico,2490
23-04-2020,Manufacturing,Severance,Mexico,35674
18-05-2020,Manufacturing,Severance,Mexico,3251
25-06-2020,Manufacturing,Severance,Mexico,16530
02-07-2020,Manufacturing,Severance,Mexico,4000
03-08-2020,Manufacturing,Severance,Mexico,32525
09-09-2020,Manufacturing,Severance,Mexico,39813
10-10-2020,Manufacturing,Severance,Mexico,23264
09-11-2020,Manufacturing,Severance,Mexico,10493
15-12-2020,Manufacturing,Severance,Mexico,19853
23-01-2020,Manufacturing,Software,France,24829
15-02-2020,Manufacturing,Software,France,4579
06-03-2020,Manufacturing,Software,France,27036
05-04-2020,Manufacturing,Software,France,9848
03-05-2020,Manufacturing,Software,France,38858
15-06-2020,Manufacturing,Software,France,22808
26-07-2020,Manufacturing,Software,France,18754
25-08-2020,Manufacturing,Software,France,37441
25-09-2020,Manufacturing,Software,France,29489
25-10-2020,Manufacturing,Software,France,10610
22-11-2020,Manufacturing,Software,France,34708
26-12-2020,Manufacturing,Software,France,34728
12-01-2020,Manufacturing,Software,Ireland,12407
15-02-2020,Manufacturing,Software,Ireland,25698
28-03-2020,Manufacturing,Software,Ireland,36538
09-04-2020,Manufacturing,Software,Ireland,37161
15-05-2020,Manufacturing,Software,Ireland,30719
19-06-2020,Manufacturing,Software,Ireland,27428
14-07-2020,Manufacturing,Software,Ireland,11802
28-08-2020,Manufacturing,Software,Ireland,197
04-09-2020,Manufacturing,Software,Ireland,18162
19-10-2020,Manufacturing,Software,Ireland,3512
07-11-2020,Manufacturing,Software,Ireland,14023
20-12-2020,Manufacturing,Software,Ireland,3027
20-01-2020,Manufacturing,Software,USA,"81,090"
22-02-2020,Manufacturing,Software,USA,"47,044"
23-03-2020,Manufacturing,Software,USA,"56,255"
06-04-2020,Manufacturing,Software,USA,"68,556"
24-05-2020,Manufacturing,Software,USA,"46,150"
21-06-2020,Manufacturing,Software,USA,"57,703"
10-07-2020,Manufacturing,Software,USA,"47,373"
16-08-2020,Manufacturing,Software,USA,"66,523"
21-09-2020,Manufacturing,Software,USA,"49,876"
07-10-2020,Manufacturing,Software,USA,"50,302"
08-11-2020,Manufacturing,Software,USA,"75,368"
16-12-2020,Manufacturing,Software,USA,"62,361"
20-01-2020,Manufacturing,Software Maintenance,France,"37,429"
10-02-2020,Manufacturing,Software Maintenance,France,"66,973"
22-03-2020,Manufacturing,Software Maintenance,France,"34,135"
18-04-2020,Manufacturing,Software Maintenance,France,"43,091"
19-05-2020,Manufacturing,Software Maintenance,France,"20,001"
25-06-2020,Manufacturing,Software Maintenance,France,"29,508"
20-07-2020,Manufacturing,Software Maintenance,France,"52,751"
27-08-2020,Manufacturing,Software Maintenance,France,"37,809"
03-09-2020,Manufacturing,Software Maintenance,France,"36,602"
08-10-2020,Manufacturing,Software Maintenance,France,"34,600"
17-11-2020,Manufacturing,Software Maintenance,France,"21,008"
24-12-2020,Manufacturing,Software Maintenance,France,"36,482"
13-01-2020,Manufacturing,Software Maintenance,United Kingdom,10569
08-02-2020,Manufacturing,Software Maintenance,United Kingdom,29920
25-03-2020,Manufacturing,Software Maintenance,United Kingdom,23748
17-04-2020,Manufacturing,Software Maintenance,United Kingdom,5993
15-05-2020,Manufacturing,Software Maintenance,United Kingdom,7219
22-06-2020,Manufacturing,Software Maintenance,United Kingdom,5443
02-07-2020,Manufacturing,Software Maintenance,United Kingdom,24193
05-08-2020,Manufacturing,Software Maintenance,United Kingdom,21088
24-09-2020,Manufacturing,Software Maintenance,United Kingdom,21106
01-10-2020,Manufacturing,Software Maintenance,United Kingdom,24848
04-11-2020,Manufacturing,Software Maintenance,United Kingdom,25684
20-12-2020,Manufacturing,Software Maintenance,United Kingdom,30565
20-01-2020,Manufacturing,Software Maintenance,USA,"2,26,704"
22-02-2020,Manufacturing,Software Maintenance,USA,"2,46,416"
03-03-2020,Manufacturing,Software Maintenance,USA,"2,22,464"
19-04-2020,Manufacturing,Software Maintenance,USA,"2,18,717"
10-05-2020,Manufacturing,Software Maintenance,USA,"2,31,964"
28-06-2020,Manufacturing,Software Maintenance,USA,"2,49,067"
04-07-2020,Manufacturing,Software Maintenance,USA,"2,17,827"
16-08-2020,Manufacturing,Software Maintenance,USA,"2,40,115"
01-09-2020,Manufacturing,Software Maintenance,USA,"2,29,664"
14-10-2020,Manufacturing,Software Maintenance,USA,"2,19,089"
03-11-2020,Manufacturing,Software Maintenance,USA,"2,29,956"
11-12-2020,Manufacturing,Software Maintenance,USA,"2,23,133"
24-01-2020,Manufacturing,Supplies,Brazil,20897
16-02-2020,Manufacturing,Supplies,Brazil,37885
07-03-2020,Manufacturing,Supplies,Brazil,3650
11-04-2020,Manufacturing,Supplies,Brazil,3968
07-05-2020,Manufacturing,Supplies,Brazil,978
18-06-2020,Manufacturing,Supplies,Brazil,14436
13-07-2020,Manufacturing,Supplies,Brazil,7263
11-08-2020,Manufacturing,Supplies,Brazil,39634
01-09-2020,Manufacturing,Supplies,Brazil,31806
20-10-2020,Manufacturing,Supplies,Brazil,39458
24-11-2020,Manufacturing,Supplies,Brazil,30083
06-12-2020,Manufacturing,Supplies,Brazil,32588
25-01-2020,Manufacturing,Supplies,France,4962
21-02-2020,Manufacturing,Supplies,France,19776
03-03-2020,Manufacturing,Supplies,France,30906
19-04-2020,Manufacturing,Supplies,France,21343
13-05-2020,Manufacturing,Supplies,France,5532
17-06-2020,Manufacturing,Supplies,France,29306
13-09-2020,Manufacturing,Supplies,France,39823
02-10-2020,Manufacturing,Supplies,France,577
22-11-2020,Manufacturing,Supplies,France,39831
09-12-2020,Manufacturing,Supplies,France,1266
19-01-2020,Manufacturing,Supplies,Germany,17262
16-02-2020,Manufacturing,Supplies,Germany,39640
18-03-2020,Manufacturing,Supplies,Germany,11815
06-04-2020,Manufacturing,Supplies,Germany,16749
26-05-2020,Manufacturing,Supplies,Germany,2432
24-06-2020,Manufacturing,Supplies,Germany,22385
19-07-2020,Manufacturing,Supplies,Germany,22141
05-08-2020,Manufacturing,Supplies,Germany,20582
02-09-2020,Manufacturing,Supplies,Germany,18694
14-10-2020,Manufacturing,Supplies,Germany,35304
20-11-2020,Manufacturing,Supplies,Germany,24409
11-12-2020,Manufacturing,Supplies,Germany,17876
12-01-2020,Manufacturing,Supplies,Ireland,13577
06-02-2020,Manufacturing,Supplies,Ireland,37158
01-03-2020,Manufacturing,Supplies,Ireland,13544
02-04-2020,Manufacturing,Supplies,Ireland,20625
15-05-2020,Manufacturing,Supplies,Ireland,16214
10-06-2020,Manufacturing,Supplies,Ireland,17374
11-07-2020,Manufacturing,Supplies,Ireland,33203
18-08-2020,Manufacturing,Supplies,Ireland,28566
23-09-2020,Manufacturing,Supplies,Ireland,12824
04-10-2020,Manufacturing,Supplies,Ireland,17718
10-11-2020,Manufacturing,Supplies,Ireland,22505
17-12-2020,Manufacturing,Supplies,Ireland,3347
15-01-2020,Manufacturing,Supplies,Italy,19388
13-02-2020,Manufacturing,Supplies,Italy,"11,373"
20-03-2020,Manufacturing,Supplies,Italy,"37,827"
02-04-2020,Manufacturing,Supplies,Italy,"38,060"
05-05-2020,Manufacturing,Supplies,Italy,"11,899"
13-06-2020,Manufacturing,Supplies,Italy,"14,191"
01-07-2020,Manufacturing,Supplies,Italy,"28,340"
04-08-2020,Manufacturing,Supplies,Italy,"30,092"
10-09-2020,Manufacturing,Supplies,Italy,"3,739"
18-10-2020,Manufacturing,Supplies,Italy,40235
01-11-2020,Manufacturing,Supplies,Italy,"34,745"
10-12-2020,Manufacturing,Supplies,Italy,"24,655"
20-01-2020,Manufacturing,Supplies,Puerto Rico,16774
22-02-2020,Manufacturing,Supplies,Puerto Rico,23447
19-03-2020,Manufacturing,Supplies,Puerto Rico,16590
02-04-2020,Manufacturing,Supplies,Puerto Rico,33027
08-05-2020,Manufacturing,Supplies,Puerto Rico,29196
02-06-2020,Manufacturing,Supplies,Puerto Rico,2413
05-07-2020,Manufacturing,Supplies,Puerto Rico,36683
01-08-2020,Manufacturing,Supplies,Puerto Rico,39919
27-09-2020,Manufacturing,Supplies,Puerto Rico,23933
05-10-2020,Manufacturing,Supplies,Puerto Rico,35166
12-11-2020,Manufacturing,Supplies,Puerto Rico,21290
20-12-2020,Manufacturing,Supplies,Puerto Rico,25755
13-01-2020,Manufacturing,Supplies,USA,9758
11-02-2020,Manufacturing,Supplies,USA,17311
22-03-2020,Manufacturing,Supplies,USA,14725
12-04-2020,Manufacturing,Supplies,USA,30677
11-05-2020,Manufacturing,Supplies,USA,16173
12-06-2020,Manufacturing,Supplies,USA,12603
07-07-2020,Manufacturing,Supplies,USA,19814
07-08-2020,Manufacturing,Supplies,USA,31101
20-09-2020,Manufacturing,Supplies,USA,36189
11-10-2020,Manufacturing,Supplies,USA,7262
18-11-2020,Manufacturing,Supplies,USA,6577
11-12-2020,Manufacturing,Supplies,USA,30960
20-01-2020,Manufacturing,Taxes,USA,"25,193"
23-02-2020,Manufacturing,Taxes,USA,"35,168"
27-03-2020,Manufacturing,Taxes,USA,"35,026"
02-04-2020,Manufacturing,Taxes,USA,"32,077"
21-05-2020,Manufacturing,Taxes,USA,"18,882"
27-06-2020,Manufacturing,Taxes,USA,"39,294"
23-07-2020,Manufacturing,Taxes,USA,"8,079"
26-08-2020,Manufacturing,Taxes,USA,"12,881"
09-09-2020,Manufacturing,Taxes,USA,"35,945"
25-10-2020,Manufacturing,Taxes,USA,"22,027"
18-11-2020,Manufacturing,Taxes,USA,"20,068"
04-12-2020,Manufacturing,Taxes,USA,"21,704"
09-01-2020,Manufacturing,Telecomm,Brazil,19555
19-02-2020,Manufacturing,Telecomm,Brazil,18612
19-03-2020,Manufacturing,Telecomm,Brazil,39176
05-04-2020,Manufacturing,Telecomm,Brazil,16463
16-05-2020,Manufacturing,Telecomm,Brazil,29180
18-06-2020,Manufacturing,Telecomm,Brazil,15997
22-07-2020,Manufacturing,Telecomm,Brazil,9432
24-08-2020,Manufacturing,Telecomm,Brazil,6118
28-09-2020,Manufacturing,Telecomm,Brazil,2599
13-10-2020,Manufacturing,Telecomm,Brazil,17532
01-11-2020,Manufacturing,Telecomm,Brazil,22037
19-12-2020,Manufacturing,Telecomm,Brazil,37492
21-01-2020,Manufacturing,Telecomm,France,"15,788"
13-02-2020,Manufacturing,Telecomm,France,"11,632"
15-03-2020,Manufacturing,Telecomm,France,"20,998"
09-04-2020,Manufacturing,Telecomm,France,"29,569"
03-05-2020,Manufacturing,Telecomm,France,"31,315"
09-06-2020,Manufacturing,Telecomm,France,"15,134"
25-07-2020,Manufacturing,Telecomm,France,"29,447"
04-08-2020,Manufacturing,Telecomm,France,"14,770"
03-09-2020,Manufacturing,Telecomm,France,"13,695"
24-10-2020,Manufacturing,Telecomm,France,"16,178"
10-11-2020,Manufacturing,Telecomm,France,"46,780"
11-12-2020,Manufacturing,Telecomm,France,"17,047"
12-01-2020,Manufacturing,Telecomm,Ireland,"18,579"
21-02-2020,Manufacturing,Telecomm,Ireland,"34,440"
13-03-2020,Manufacturing,Telecomm,Ireland,"32,643"
24-04-2020,Manufacturing,Telecomm,Ireland,"32,108"
05-05-2020,Manufacturing,Telecomm,Ireland,"6,669"
28-06-2020,Manufacturing,Telecomm,Ireland,"30,877"
18-07-2020,Manufacturing,Telecomm,Ireland,"20,992"
02-08-2020,Manufacturing,Telecomm,Ireland,"8,722"
15-09-2020,Manufacturing,Telecomm,Ireland,"28,661"
19-10-2020,Manufacturing,Telecomm,Ireland,"9,674"
26-11-2020,Manufacturing,Telecomm,Ireland,"35,456"
07-12-2020,Manufacturing,Telecomm,Ireland,"16,140"
13-01-2020,Manufacturing,Telecomm,Italy,39102
19-02-2020,Manufacturing,Telecomm,Italy,34642
16-03-2020,Manufacturing,Telecomm,Italy,11586
08-04-2020,Manufacturing,Telecomm,Italy,24616
01-05-2020,Manufacturing,Telecomm,Italy,36812
21-06-2020,Manufacturing,Telecomm,Italy,33782
02-07-2020,Manufacturing,Telecomm,Italy,11391
15-08-2020,Manufacturing,Telecomm,Italy,"25,210"
16-09-2020,Manufacturing,Telecomm,Italy,"22,382"
10-10-2020,Manufacturing,Telecomm,Italy,24210
25-11-2020,Manufacturing,Telecomm,Italy,2552
20-12-2020,Manufacturing,Telecomm,Italy,"6,948"
06-01-2020,Manufacturing,Telecomm,Puerto Rico,"45,429"
15-02-2020,Manufacturing,Telecomm,Puerto Rico,"47,798"
19-03-2020,Manufacturing,Telecomm,Puerto Rico,"20,019"
18-04-2020,Manufacturing,Telecomm,Puerto Rico,"31,772"
23-05-2020,Manufacturing,Telecomm,Puerto Rico,"31,912"
15-06-2020,Manufacturing,Telecomm,Puerto Rico,"15,834"
01-07-2020,Manufacturing,Telecomm,Puerto Rico,"22,135"
28-08-2020,Manufacturing,Telecomm,Puerto Rico,"23,194"
27-09-2020,Manufacturing,Telecomm,Puerto Rico,"29,259"
03-10-2020,Manufacturing,Telecomm,Puerto Rico,"42,926"
03-11-2020,Manufacturing,Telecomm,Puerto Rico,"9,483"
16-12-2020,Manufacturing,Telecomm,Puerto Rico,"16,399"
05-01-2020,Manufacturing,Telecomm,Spain,23933
07-02-2020,Manufacturing,Telecomm,Spain,26956
28-03-2020,Manufacturing,Telecomm,Spain,39147
21-04-2020,Manufacturing,Telecomm,Spain,1812
19-05-2020,Manufacturing,Telecomm,Spain,33085
24-06-2020,Manufacturing,Telecomm,Spain,24775
22-07-2020,Manufacturing,Telecomm,Spain,36138
27-08-2020,Manufacturing,Telecomm,Spain,7362
05-09-2020,Manufacturing,Telecomm,Spain,4288
24-10-2020,Manufacturing,Telecomm,Spain,34656
14-11-2020,Manufacturing,Telecomm,Spain,27733
23-12-2020,Manufacturing,Telecomm,Spain,14824
24-01-2020,Manufacturing,Telecomm,USA,"5,337"
14-02-2020,Manufacturing,Telecomm,USA,"25,657"
27-03-2020,Manufacturing,Telecomm,USA,"10,423"
08-04-2020,Manufacturing,Telecomm,USA,"41,953"
09-05-2020,Manufacturing,Telecomm,USA,"9,590"
02-06-2020,Manufacturing,Telecomm,USA,"7,675"
12-07-2020,Manufacturing,Telecomm,USA,"30,659"
09-08-2020,Manufacturing,Telecomm,USA,"42,578"
26-09-2020,Manufacturing,Telecomm,USA,"11,905"
01-10-2020,Manufacturing,Telecomm,USA,"18,456"
05-11-2020,Manufacturing,Telecomm,USA,"16,630"
25-12-2020,Manufacturing,Telecomm,USA,"31,290"
27-01-2020,Manufacturing,Training,Brazil,26519
09-02-2020,Manufacturing,Training,Brazil,36609
01-03-2020,Manufacturing,Training,Brazil,30673
20-04-2020,Manufacturing,Training,Brazil,28270
20-05-2020,Manufacturing,Training,Brazil,9296
11-06-2020,Manufacturing,Training,Brazil,27515
05-07-2020,Manufacturing,Training,Brazil,5423
11-08-2020,Manufacturing,Training,Brazil,22363
13-09-2020,Manufacturing,Training,Brazil,28102
19-10-2020,Manufacturing,Training,Brazil,31370
14-11-2020,Manufacturing,Training,Brazil,4051
26-12-2020,Manufacturing,Training,Brazil,6597
04-01-2020,Manufacturing,Training,France,18353
10-02-2020,Manufacturing,Training,France,18232
19-03-2020,Manufacturing,Training,France,12231
02-04-2020,Manufacturing,Training,France,34109
22-05-2020,Manufacturing,Training,France,23635
28-06-2020,Manufacturing,Training,France,29642
02-07-2020,Manufacturing,Training,France,29975
05-08-2020,Manufacturing,Training,France,1863
28-09-2020,Manufacturing,Training,France,14727
25-10-2020,Manufacturing,Training,France,39236
25-11-2020,Manufacturing,Training,France,35339
